NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
497,HVDC-ADOPT-SCT-0080,E08,HVDC-ADOPT-SCT-0080,2025-03-20,5000734812,Excellift,Mech,Crane and Hoist,Crane and Hoist (7th),O,,O,O,FOB,USD,280.0,733.0,11.14,1024.14,MALAYSIA,Kuala Lumpur,Abu Dhabi Airport,TC2502345,CV7545,,A,1,,,,,,,,,,,,,,,,,0.0,,,,182.0,0.93,0.93,,2025-04-11,2025-04-11,2025-04-19,2025-04-19,,2025-04-21,2025-04-21,2025-04-21,47150.0,189.0,198.0,2025-05-01,2025-04-29,,2025-04-27,,,,,,,2025-04-22,,,,,2,Port → WH → Site
498,HVDC-ADOPT-SCT-0088,E08,HVDC-ADOPT-SCT-0088,2025-04-16,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,,,,FOB,USD,6750.0,,,6750.0,Spain,Vitoria-Gasteiz,Abu Dhabi Airport,MAD-00002376,EK4607T,,A,1,,,,,,,,,,,,,,,,,0.0,,,,103.0,0.71,0.71,,2025-04-16,2025-04-16,2025-04-19,2025-04-19,2025-04-30,2025-04-22,2025-04-22,2025-04-22,47150.0,1240.0,1302.0,2025-04-23,,,,,,,,,,,,,,,1,Port → Site
515,HVDC-ADOPT-SCT-0066,E08,HVDC-ADOPT-SCT-0066,2025-03-04,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,O,FOB,USD,125464.84,1600.0,1380.11,128444.95,CHINA,Shanghai,Khalifa port,290-700-2503-072,CSCL GLOBE,Deugro,C,12,,,1.0,,,,,,,,,,,,,,1.0,,,,7475.0,20.43,20.43,,2025-03-18,2025-03-18,2025-04-22,2025-04-22,2025-11-30,2025-04-24,2025-04-25,2025-04-25,47150.0,27124.0,28480.0,2025-05-01,2025-05-01,,2025-05-04,,,,,,,2025-04-30,,,,,2,Port → WH → Site
516,HVDC-ADOPT-SIM-0072,E04-1,50509616-DC,2025-03-28,SCT-19LT-PRC-PO-005,Qualitrol,Elec,400kV and 132kV New Converter GIS,400kV PQMS System (WBS Element)_DC,O,,O,,CIF,USD,,,,134080.0,United Kingdom,Belfast,Abu Dhabi Airport,176-04440774,EK9067,,A,2,,,,,,,,,,,,,,,,,0.0,,,,981.0,5.5,5.5,,2024-03-24,2024-03-24,2025-04-11,2025-04-11,2025-04-28,2025-04-16,2025-04-16,2025-04-16,47150.0,24621.0,25852.0,2025-05-01,2025-04-29,,,,,,,,,,,,,,1,Port → Site
517,HVDC-ADOPT-SIM-0073,E04-1,50509616-PS,2025-03-28,SCT-19LT-PRC-PO-005,Qualitrol,Elec,400kV and 132kV New Converter GIS,400kV PQMS System (WBS Element)_PS,O,,O,,CIF,USD,,,,124400.0,United Kingdom,Belfast,Abu Dhabi Airport,176-04440800,EK9067,,A,2,,,,,,,,,,,,,,,,,0.0,,,,1080.0,5.5,5.5,,2024-03-24,2024-03-24,2025-04-11,2025-04-11,2025-04-30,2025-04-16,2025-04-16,2025-04-16,47150.0,22843.0,23985.0,2025-04-23,2025-04-23,,,,,,,,,,,,,,1,Port → Site
518,HVDC-ADOPT-SEI-0017-02,E03,HVDC-ADOPT-SEI-0017-02,2025-01-21,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Oil Pressure Tank & Silicone Oil,,,,,CIF,JPY,52856179.0,12360.0,581417.89,53449956.89,JAPAN,Kobe,Khalifa port,290-700-2502-025,HONOR VOYAGER,,C,7,,,,,,,,,,2.0,,,,,,,2.0,,,,18673.0,82.6,82.6,,2025-02-10,2025-02-10,2025-04-08,2025-04-08,2025-11-30,2025-04-11,2025-04-30,2025-04-30,47150.0,68721.0,72157.0,2026-01-17,,,,,,,,,,,,,,,1,Port → Site
522,HVDC-ADOPT-SCT-0075,E08,HVDC-ADOPT-SCT-0075,2025-03-11,5000801061,El Seswdy,Elec,Radio Tower - Embedded Material,Radio Tower - Embedded Material,O,,O,,FOB,USD,3320.0,1488.0,52.89,4860.89,Egypt,Kairo,Abu Dhabi Airport,CCAP602917,ES0195/08,,A,2,,,,,,,,,,,,,,,,,0.0,,,,930.0,1.8,1.8,,2025-04-08,2025-04-08,2025-04-11,2025-04-11,2025-11-30,2025-04-28,2025-04-28,2025-04-28,47150.0,893.0,937.0,2025-04-30,2025-04-30,,,,,,,,,2025-04-30,,,,,2,Port → WH → Site
524,HVDC-ADOPT-SEI-0021-T,E03,HVDC-ADOPT-SEI-0021-T,2025-03-11,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Cleat 400 kv Subseaa Cables,,,,,CIF,USD,1953.0,54.12,50.0,2057.12,United Kingdom,Heathrow,Abu Dhabi Airport,LON00003424,QR008,,A,2,,,,,,,,,,,,,,,,,0.0,,,,22.0,0.07,0.07,,2025-04-24,2025-04-24,2025-04-27,2025-04-27,,2025-04-28,2025-04-29,2025-04-29,47150.0,378.0,397.0,,,,,,,,,2025-05-03,,,,,,,2,Port → WH → Site
525,HVDC-ADOPT-SEI-0021-L,E03,HVDC-ADOPT-SEI-0021-L,2025-03-11,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Cable Cleat 400 kv Subseaa Cables,,,,,CIF,USD,6394.0,422.8,50.0,6866.8,United Kingdom,Heathrow,Abu Dhabi Airport,LON00003425,QR008,,A,1,,,,,,,,,,,,,,,,,0.0,,,,151.0,0.92,0.92,,2025-04-24,2025-04-24,2025-04-27,2025-04-27,2025-11-30,2025-05-01,2025-05-01,2025-05-01,47150.0,1268.0,1327.0,,,,,,,,,2025-05-03,,,,,,,2,Port → WH → Site
528,HVDC-ADOPT-SCT-0058,E08,HVDC-ADOPT-SCT-0058,2025-03-19,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (5th),O,O,O,O,FOB,USD,52160.0,800.0,625.92,53585.92,KOREA,Busan Port,Khalifa port,290-700-2503-017,HMM HANBADA,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1312.0,8.37,8.37,,2025-03-19,2025-03-19,2025-05-01,2025-05-01,2025-11-30,2025-04-30,2025-04-30,2025-04-30,47150.0,,9840.0,2025-05-18,2025-05-12,,2025-05-29,,,,,,,2025-05-12,,,,,2,Port → WH → Site
529,HVDC-ADOPT-SCT-0070,I01,HVDC-ADOPT-SCT-0070,2025-03-19,5000801061,SHIN AHN,Inst.,Field Instrument,Field Instrument (1st),O,O,O,O,FOB,USD,46480.0,1600.0,557.76,48637.76,KOREA,Busan Port,Khalifa port,290-700-2503-087,HMM HANBADA,Deugro,C,7,,,1.0,,,,,,,,,,,,,,1.0,,,,2775.0,27.11,27.11,,2025-03-19,2025-03-19,2025-05-01,2025-05-01,2025-11-30,2025-04-30,2025-04-30,2025-04-30,47150.0,7862.0,9324.0,2025-05-18,2025-05-12,2025-05-28,2025-06-16,,,,,,,2025-05-12,,,,,2,Port → WH → Site
530,HVDC-ADOPT-SCT-0089,E08,HVDC-ADOPT-SCT-0089,2025-03-26,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,O,FOB,USD,17433.63,900.0,220.0,18553.63,CHINA,Shanghai,Khalifa port,290-700-2504-059,NORTHERN MONUMENT,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1132.0,2.37,2.37,,2025-04-12,2025-04-12,2025-05-05,2025-05-05,2025-11-30,2025-05-09,2025-05-09,2025-05-09,47150.0,3918.0,4114.0,2025-05-18,2025-05-22,,2025-05-29,,,,,,,2025-05-12,,,,,2,Port → WH → Site
531,HVDC-ADOPT-SIM-0076-A,E04-1,HVDC-ADOPT-SIM-0076-A,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_MRPS,,,O,,CIF,EUR,,,,53380.0,Switzerland,Geneve,Abu Dhabi Airport,157-03237872,QR9206,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1500.0,9.22,9.22,,2025-04-30,2025-04-30,2025-05-06,2025-05-06,2025-12-17,2025-05-08,2025-05-08,2025-05-08,47150.0,,52008.0,,2025-05-15,,,,,,,,,,,,,,1,Port → Site
532,HVDC-ADOPT-SIM-0076-B,E04-1,HVDC-ADOPT-SIM-0076-B,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_SHPS,O,,O,,CIF,EUR,,,,53380.0,Switzerland,Geneve,Abu Dhabi Airport,157-03237872,QR9206,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1500.0,9.22,9.22,,2025-04-30,2025-04-30,2025-05-06,2025-05-06,2025-12-17,2025-05-08,2025-05-08,2025-05-08,47150.0,,,2025-05-15,,,,,,,,,,,,,,,1,Port → Site
533,HVDC-ADOPT-SIM-0076-C,E04-1,HVDC-ADOPT-SIM-0076-C,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_MRDC,,,O,,CIF,EUR,,,,71240.0,Switzerland,Geneve,Abu Dhabi Airport,157-03237872,QR9206,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1835.0,9.22,9.22,,2025-04-30,2025-04-30,2025-05-06,2025-05-06,2025-12-17,2025-05-08,2025-05-08,2025-05-08,47150.0,,,,2025-05-10,,,,,,,,,,,,,,1,Port → Site
534,HVDC-ADOPT-SIM-0076-D,E04-1,HVDC-ADOPT-SIM-0076-D,2025-04-04,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Charger System_SHDC,O,,O,,CIF,EUR,,,,71240.0,Switzerland,Geneve,Abu Dhabi Airport,157-03237872,QR9206,,A,3,,,,,,,,,,,,,,,,,0.0,,,,1850.0,9.22,9.22,,2025-04-30,2025-04-30,2025-05-06,2025-05-06,2025-12-17,2025-05-08,2025-05-08,2025-05-08,47150.0,,,2025-05-10,,,,,,,,,,,,,,,1,Port → Site
535,HVDC-ADOPT-SCT-0100,E08,HVDC-ADOPT-SCT-0100,2025-05-08,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,,,FOB,USD,3000.0,1768.92,4.77,4773.69,KOREA,Incheon,Abu Dhabi Airport,ELA2505051,EY823,,A,1,,,,,,,,,,,,,,,,,0.0,,,,392.0,0.97,0.97,,2025-05-08,2025-05-08,2025-05-08,2025-05-08,2025-12-17,2025-05-08,2025-05-09,2025-05-09,47150.0,877.0,920.0,2025-05-14,,,,,,,,,,,,,,,1,Port → Site
537,HVDC-ADOPT-SCT-0067,E08,HVDC-ADOPT-SCT-0067,2025-02-18,5001003776,Sangdong,Elec,Earthing & Lightning Protection Material,Earthing & Lightning Protection Material (4th),O,O,O,O,FOB,USD,57095.33,1600.0,685.14,59380.47,KOREA,Busan Port,Khalifa port,290-700-2503-088,HMM HANUL,Deugro,C,8,,,1.0,,,,,,,,,,,,,,1.0,,,,5470.0,21.64,21.64,,2025-03-28,2025-03-28,2025-05-08,2025-05-08,2025-11-30,2025-05-09,2025-05-12,2025-05-12,47150.0,10904.0,11449.0,2025-05-18,2025-05-19,2025-05-28,2025-05-29,,,,,,,2025-05-19,,,,,2,Port → WH → Site
538,HVDC-ADOPT-SCT-0068,E08,HVDC-ADOPT-SCT-0068,2025-04-02,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,372050.0,1440.0,4092.55,377582.55,Spain,Barcelona,Khalifa port,290-700-2503-195,MSC REGULUS,Deugro,C,25,,,,,,,,,,,,,,,,,0.0,,,,6578.5,37.09,37.09,,2025-04-02,2025-04-02,2025-05-10,2025-05-10,2025-11-30,2025-05-09,2025-05-12,2025-05-12,47150.0,69334.0,72800.0,2025-05-18,2025-05-19,2025-06-10,2025-06-03,,,,,,,2025-05-19,,,,,2,Port → WH → Site
551,HVDC-ADOPT-SCT-0060,E08,HVDC-ADOPT-SCT-0060,2025-02-21,5001005974,Tyco Electronics,Elec,Cable Termimation Kit,Cable Termination Kit (1st),O,O,O,O,FOB,USD,84709.77,800.0,1016.52,86526.29,KOREA,Busan Port,Khalifa port,290-700-2503-122,HMM HANUL,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,2760.0,7.03,7.03,,2025-03-28,2025-03-28,2025-05-08,2025-05-08,2025-11-30,2025-05-09,2025-05-12,2025-05-12,47150.0,18275.0,19186.0,2025-05-18,2025-05-22,2025-05-29,2025-05-29,,,,,,,2025-05-22,,,,,2,Port → WH → Site
552,HVDC-ADOPT-SCT-0062,E08,HVDC-ADOPT-SCT-0062,2025-02-25,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (5th),O,O,O,O,FOB,USD,234241.98,8000.0,2576.66,244818.64,KOREA,Busan Port,Khalifa port,290-700-2503-029,HMM HANUL,Deugro,C,29,,,5.0,,,,,,,,,,,,,,5.0,,,,68850.0,106.28,106.28,,2025-03-28,2025-03-28,2025-05-08,2025-05-08,2025-11-30,2025-05-14,2025-05-14,2025-05-14,47150.0,44956.0,47203.0,2025-05-30,2025-05-30,2025-06-13,2025-06-16,,,,,,,2025-05-29,,,,,2,Port → WH → Site
553,HVDC-ADOPT-SCT-0099,E08,HVDC-ADOPT-SCT-0099,2025-05-08,5000735555,LS Cable,Elec,"MV, LV & Control Cable",400kv Power Cable Accessories,O,,,,FOB,USD,70500.0,19337.9,89.84,89927.74,KOREA,Incheon,Abu Dhabi Airport,ELA2505050,EY323,,A,9,,,,,,,,,,,,,,,,,0.0,,,,4290.0,19.57,19.57,,2025-05-09,2025-05-09,2025-05-11,2025-05-11,2025-11-30,2025-05-09,2025-05-12,2025-05-12,47150.0,16514.0,17339.0,2025-05-17,,,,,,,,,,,,,,,1,Port → Site
557,HVDC-ADOPT-SCT-0076,E08,HVDC-ADOPT-SCT-0076,2025-03-04,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,O,O,,FOB,USD,69267.74,1920.0,831.21,72018.95,Sweden,Helsingborg,Khalifa port,290-700-2503-163,MSC KYUNGMIN,Deugro,C,6,1.0,,,,,,,,,,,,,,,,1.0,,,,1375.0,4.15,4.15,,2025-03-27,2025-03-27,2025-05-16,2025-05-16,2025-11-30,2025-05-16,2025-05-17,2025-05-17,47150.0,13225.0,13886.0,2025-05-22,2025-05-22,,,,,,,,,2025-05-22,,,,,2,Port → WH → Site
558,HVDC-ADOPT-SCT-0081,I01,HVDC-ADOPT-SCT-0081,2025-03-20,5000801061,SHIN AHN,Inst.,Field Instrument,Field Instrument (2nd),O,O,O,O,FOB,USD,264170.0,800.0,3179.64,268149.64,KOREA,Busan Port,Khalifa port,290-700-2503-185,HMM GARAM,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1800.0,11.2,11.2,,2025-04-02,2025-04-02,2025-05-17,2025-05-17,2025-11-30,2025-05-16,2025-05-17,2025-05-17,47150.0,2494.0,49364.0,2025-05-22,2025-05-22,2025-05-29,2025-05-29,,,,,,,2025-05-22,,,,,2,Port → WH → Site
559,HVDC-ADOPT-SCT-0103,E08,HVDC-ADOPT-SCT-0103,2025-05-13,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (7th),O,,O,O,FOB,USD,846.0,594.23,1441.67,2881.9,KOREA,Incheon,Abu Dhabi Airport,SEL-00000171,QR859,,A,1,,,,,,,,,,,,,,,,,0.0,,,,91.0,0.46,0.46,,2025-05-17,2025-05-17,2025-05-18,2025-05-18,,2025-05-19,2025-05-19,2025-05-19,47150.0,265.0,278.0,,2025-05-27,,2025-05-29,,,,,,,2025-05-19,,,,,2,Port → WH → Site
567,HVDC-ADOPT-SCT-0074,E08,HVDC-ADOPT-SCT-0074,2025-04-02,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (15th),,O,,O,FOB,USD,73103.87,2400.0,830.54,76334.41,KOREA,Busan Port,Khalifa port,290-700-2504-129,HMM GARAM,Deugro,C,7,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,4356.0,29.97,29.97,,2025-04-02,2025-04-02,2025-05-17,2025-05-17,2025-11-30,2024-05-19,2024-05-20,2024-05-20,47150.0,14017.0,14718.0,,,2025-05-29,2025-08-28,,,,,,,2025-05-26,,,,,2,Port → WH → Site
583,HVDC-ADOPT-SIM-0080-A,E04-1,HVDC-ADOPT-SIM-0080-A,2025-04-28,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery_DSDC,,O,,,CIF,EUR,,,,16275.0,India,Visakhapatnam,Khalifa port,RSLDWC250337,MSC Sabrina,,C,16,1.0,,,,,,,,,,,,,,,,1.0,,,,2312.0,3.98,3.98,,2025-04-29,2025-04-29,2025-05-23,2025-05-23,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,18986.0,19931.0,,,,,,,,,,,2025-11-27,,,2025-06-02,,3,Port → WH → MOSB → Site
584,HVDC-ADOPT-SIM-0080-B,E04-1,HVDC-ADOPT-SIM-0080-B,2025-04-28,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery_GHDC,,,,O,CIF,EUR,,,,16275.0,India,Visakhapatnam,Khalifa port,RSLDWC250338,MSC Sabrina,,C,16,,,,,,,,,,,,,,,,,0.0,,,,2440.0,3.98,3.98,,2025-04-29,2025-04-29,2025-05-23,2025-05-23,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,,,,,,,,,,,,,2026-01-21,,,2025-06-02,,3,Port → WH → MOSB → Site
585,HVDC-ADOPT-SIM-0080-C,E04-1,HVDC-ADOPT-SIM-0080-C,2025-04-28,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery_MRPS,,,O,,CIF,EUR,,,,29235.0,India,Visakhapatnam,Khalifa port,RSLDWC250339,MSC Sabrina,,C,20,,,,,,,,,,,,,,,,,0.0,,,,2714.0,3.98,3.98,,2025-04-29,2025-04-29,2025-05-23,2025-05-23,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,,,,2025-06-03,,,,,,,,,,,,,,1,Port → Site
586,HVDC-ADOPT-SIM-0080-D,E04-1,HVDC-ADOPT-SIM-0080-D,2025-04-28,SCT-19LT-PRC-PO-004,STATRON,Elec,400kV and 132kV New Converter GIS,Statron Battery_SHPS,O,,,,CIF,EUR,,,,29235.0,India,Visakhapatnam,Khalifa port,RSLDWC250340,MSC Sabrina,,C,20,,,,,,,,,,,,,,,,,0.0,,,,2714.0,3.98,3.98,,2025-04-29,2025-04-29,2025-05-23,2025-05-23,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,,,2025-06-03,,,,,,,,,,,,,,,1,Port → Site
587,HVDC-ADOPT-SCT-0085,E08,HVDC-ADOPT-SCT-0085,2025-04-27,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,29760.0,1040.0,338.8,31138.8,Spain,Barcelona,Khalifa port,290-700-2503-195,MSC REGULUS,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,425.0,3.88,3.88,,2025-04-02,2025-04-02,2025-05-28,2025-05-28,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,5718.0,6004.0,2025-06-25,,,2025-06-13,,,,,,,2025-06-09,,,,,2,Port → WH → Site
588,HVDC-ADOPT-SCT-0104,E08,HVDC-ADOPT-SCT-0104,2025-05-20,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,,,,FOB,USD,518.06,265.0,30.0,813.06,CHINA,Shanghai,Abu Dhabi Airport,20250147,MU237,,A,1,,,,,,,,,,,,,,,,,0.0,,,,53.0,0.19,0.19,,2025-05-26,2025-05-26,2025-05-29,2025-05-29,,2025-05-30,2025-05-30,2025-05-30,47150.0,150.0,157.0,2025-06-04,,,,,,,,,,,,,,,1,Port → Site
589,HVDC-ADOPT-SCT-0087,I01,HVDC-ADOPT-SCT-0087,2025-04-12,5000735890,EMERSON,Elec,Distributed Control System,Distributed Control System,O,O,O,O,FOB,USD,316800.0,1600.0,3502.4,321902.4,KOREA,Busan Port,Khalifa port,290-700-2504-008,HMM GAON,Deugro,C,6,,,1.0,,,,,,,,,,,,,,1.0,,,,2920.0,22.14,22.14,,2025-04-12,2025-04-12,2025-05-30,2025-05-30,2025-11-30,2025-05-29,2025-05-30,2025-05-30,47150.0,59110.0,62065.0,2025-07-21,2025-10-31,,,2025-06-11,,,,,,2025-08-25,,,,,3,Port → WH → MOSB → Site
590,HVDC-ADOPT-SCT-0072,E08,HVDC-ADOPT-SCT-0072,2025-04-12,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (7th)",O,O,O,O,FOB,USD,810892.6,15200.0,9087.02,835179.62,KOREA,Busan Port,Khalifa port,290-700-2504-006,HMM GAON,Deugro,C,118,3.0,,8.0,,,,,,,,,,,,,,11.0,,,,149885.3,207.87,207.87,,2025-04-12,2025-04-12,2025-05-30,2025-05-30,2025-11-30,2025-05-30,2025-05-30,2025-05-30,47150.0,153360.0,161028.0,2025-06-05,2025-06-12,2025-06-30,2025-08-24,,,,,,,2025-06-10,,,,,2,Port → WH → Site
591,HVDC-ADOPT-SCT-0082,E08,HVDC-ADOPT-SCT-0082,2025-03-20,5000735890,EMERSON,Elec,Distributed Control System,Distributed Control System,O,O,O,O,FOB,USD,1649966.0,16000.0,18325.63,1684291.63,KOREA,Busan Port,Khalifa port,290-700-2504-007A,HMM GAON,Deugro,C,126,,,10.0,,,,,,,,,,,,,,10.0,,,,45172.0,432.37,432.37,,2025-04-12,2025-04-12,2025-05-30,2025-05-30,2025-11-30,2025-05-30,2025-05-31,2025-05-31,47150.0,309279.0,326154.0,2025-07-21,,2025-08-25,,2025-06-14,,,,,,2025-08-21,,,,,3,Port → WH → MOSB → Site
592,HVDC-ADOPT-SCT-0084,I01,HVDC-ADOPT-SCT-0084,2025-04-12,5000761612,"ESAK CO., Ltd",Inst.,Field Instrument,Field Instrument (2nd),O,O,O,O,FOB,USD,6000.0,1600.0,91.2,7691.2,KOREA,Busan Port,Khalifa port,290-700-2504-007B,HMM GAON,Deugro,C,4,,,1.0,,,,,,,,,,,,,,1.0,,,,565.0,5.43,5.43,,2025-04-12,2025-04-12,2025-05-30,2025-05-30,2025-11-30,2025-05-30,2025-05-31,2025-05-31,47150.0,,,2025-07-01,2025-07-01,2025-07-10,2025-07-09,,,,,,,2025-07-01,,,,,2,Port → WH → Site
598,HVDC-ADOPT-SCT-0071,E08,HVDC-ADOPT-SCT-0071,2025-04-29,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (8th)",O,O,O,O,FOB,USD,57370.0,800.0,639.87,58809.87,KOREA,Busan Port,Khalifa port,290-700-2504-041,HMM DAON,Deugro,C,7,1.0,,,,,,,,,,,,,,,,1.0,,,,6135.0,10.16,10.16,,2025-04-29,2025-04-29,2025-06-06,2025-06-06,2025-11-30,2025-06-09,2025-06-09,2025-06-09,47150.0,7661.0,11182.0,2025-06-14,2025-06-14,2025-06-30,2025-08-24,,,,,,,2025-06-13,,,,,2,Port → WH → Site
601,HVDC-ADOPT-SCT-0059,E08,HVDC-ADOPT-SCT-0059,2025-04-23,5001005974,Tyco Electronics,Elec,Cable Termimation Kit,Cable Termination Kit (2nd),O,O,O,O,FOB,USD,150140.0,1040.0,1801.68,152981.68,GERMANY,Hamburg,Khalifa port,290-700-2504-038,MSC MINA,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,897.0,5.3,5.3,,2025-04-23,2025-04-23,2025-06-08,2025-06-08,2025-11-30,2025-06-09,2025-06-09,2025-06-09,47150.0,28092.0,29496.0,2025-06-23,2025-06-23,2025-07-02,2025-06-30,,,,,,,2025-06-23,,,,,2,Port → WH → Site
623,HVDC-ADOPT-SCT-0116,E08,HVDC-ADOPT-SCT-0116,2025-06-05,5001004422,Roxtec,Elec,Lighting&Small Power System,Multi Cable Transit,O,,O,,FOB,USD,347739.19,13416.43,695.48,361851.1,SWEDEN,Stockholm,Abu Dhabi Airport,AF208123,QR0168,,A,8,,,,,,,,,,,,,,,,,0.0,,,,4313.0,6.34,6.34,,2025-06-15,2025-06-15,2025-06-19,2025-06-19,2025-11-30,2025-06-19,2025-06-19,2025-06-19,47150.0,66447.0,69767.0,2025-06-21,2025-06-21,,,,,,,,,,,,,,1,Port → Site
624,HVDC-ADOPT-SCT-0092,E08,HVDC-ADOPT-SCT-0092,2025-05-10,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (16th),O,,,O,FOB,USD,40689.25,4000.0,491.58,45180.83,KOREA,Busan Port,Khalifa port,SEL00000090,HMM MIR,Deugro,C,12,1.0,,2.0,,,,,,,,,,,,,,3.0,,,,25058.0,104.38,104.38,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-21,2025-06-21,47150.0,8297.0,8711.0,,,,2025-07-31,,,,,,,2025-07-08,,,,,2,Port → WH → Site
625,HVDC-ADOPT-SCT-0083,E08,HVDC-ADOPT-SCT-0083,2025-05-10,5000761114,Dong Yang,Elec,Cathodic Protection,Cathodic Protection Systems (6th),O,O,O,O,FOB,USD,168000.0,2400.0,1874.4,172274.4,KOREA,Busan Port,Khalifa port,SEL00000089,HMM MIR,Deugro,C,8,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,5680.0,39.2,39.2,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-23,2025-06-23,47150.0,,31634.0,2025-07-07,2025-07-07,2025-07-26,2025-08-26,,,,,,,2025-07-08,,,,,2,Port → WH → Site
626,HVDC-ADOPT-SCT-0093,E08,HVDC-ADOPT-SCT-0093,2025-05-10,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (6th),O,O,O,O,FOB,USD,241453.26,6400.0,2726.39,250579.65,KOREA,Busan Port,Khalifa port,SEL00000091,HMM MIR,Deugro,C,25,,,4.0,,,,,,,,,,,,,,4.0,,,,43170.0,117.67,117.67,,2025-05-10,2025-05-10,2025-06-18,2025-06-18,2025-11-30,2025-06-20,2025-06-21,2025-06-21,47150.0,46016.0,48314.0,2025-07-07,2025-07-07,2025-07-16,2025-08-26,,,,,,,2025-07-08,,,,,2,Port → WH → Site
